20 20 203 false false
WILCZE_JAGODY 4 12 99 53 false
WILCZE_JAGODY 3 14 99 53 false
WILCZE_JAGODY 4 6 99 53 false
WILCZE_JAGODY 11 7 99 55 false
TRAWA 16 5 0 57 false
WILCZE_JAGODY 4 11 99 58 false
TRAWA 15 5 0 59 false
WILCZE_JAGODY 3 13 99 60 false
WILCZE_JAGODY 9 0 99 62 false
TRAWA 15 4 0 62 false
TRAWA 16 17 0 65 false
WILCZE_JAGODY 6 1 99 71 false
WILCZE_JAGODY 5 13 99 72 false
WILCZE_JAGODY 3 12 99 73 false
WILCZE_JAGODY 11 16 99 74 false
WILCZE_JAGODY 6 6 99 76 false
WILCZE_JAGODY 7 9 99 77 false
WILCZE_JAGODY 3 11 99 77 false
WILCZE_JAGODY 16 16 99 79 false
WILCZE_JAGODY 10 15 99 82 false
WILCZE_JAGODY 8 0 99 82 false
WILCZE_JAGODY 5 14 99 83 false
WILCZE_JAGODY 16 15 99 83 false
WILCZE_JAGODY 5 12 99 84 false
WILCZE_JAGODY 2 12 99 84 false
WILCZE_JAGODY 10 16 99 86 false
WILCZE_JAGODY 3 5 99 88 false
WILCZE_JAGODY 3 4 99 89 false
WILCZE_JAGODY 10 17 99 90 false
WILCZE_JAGODY 1 12 99 91 false
WILCZE_JAGODY 9 17 99 92 false
WILCZE_JAGODY 7 11 99 93 false
WILCZE_JAGODY 7 19 99 95 false
TRAWA 18 1 0 96 false
WILCZE_JAGODY 6 0 99 97 false
WILCZE_JAGODY 2 11 99 98 false
WILCZE_JAGODY 13 11 99 99 false
WILCZE_JAGODY 5 0 99 99 false
WILCZE_JAGODY 5 11 99 99 false
WILCZE_JAGODY 3 3 99 99 false
WILCZE_JAGODY 4 0 99 100 false
WILCZE_JAGODY 1 11 99 101 false
WILCZE_JAGODY 7 0 99 102 false
WILCZE_JAGODY 3 6 99 103 false
WILCZE_JAGODY 4 1 99 105 false
WILCZE_JAGODY 11 18 99 106 false
TRAWA 11 17 0 107 false
WILCZE_JAGODY 15 8 99 107 false
WILCZE_JAGODY 6 7 99 110 false
WILCZE_JAGODY 5 15 99 110 false
WILCZE_JAGODY 2 13 99 111 false
WILCZE_JAGODY 1 13 99 112 false
WILCZE_JAGODY 7 7 99 113 false
WILCZE_JAGODY 7 6 99 113 false
WILCZE_JAGODY 3 2 99 113 false
WILCZE_JAGODY 9 16 99 114 false
TRAWA 10 1 0 114 false
WILCZE_JAGODY 0 12 99 115 false
WILCZE_JAGODY 8 8 99 116 false
WILCZE_JAGODY 9 18 99 117 false
TRAWA 11 1 0 117 false
WILCZE_JAGODY 10 19 99 120 false
TRAWA 11 2 0 121 false
WILCZE_JAGODY 8 9 99 121 false
TRAWA 9 2 0 122 false
TRAWA 12 2 0 122 false
WILCZE_JAGODY 10 18 99 123 false
WILCZE_JAGODY 9 1 99 124 false
WILCZE_JAGODY 13 5 99 125 false
TRAWA 13 2 0 125 false
WILCZE_JAGODY 5 10 99 127 false
WILCZE_JAGODY 7 2 99 128 false
WILCZE_JAGODY 3 10 99 129 false
TRAWA 7 1 0 129 false
WILCZE_JAGODY 2 3 99 130 false
WILCZE_JAGODY 9 19 99 130 false
WILCZE_JAGODY 4 10 99 131 false
WILCZE_JAGODY 2 2 99 131 false
TRAWA 14 2 0 133 false
WILCZE_JAGODY 6 9 99 134 false
WILCZE_JAGODY 15 16 99 134 false
WILCZE_JAGODY 6 11 99 134 false
TRAWA 13 9 0 134 false
WILCZE_JAGODY 4 9 99 135 false
WILCZE_JAGODY 15 18 99 136 false
GUARANA 17 14 0 136 false
WILCZE_JAGODY 12 9 99 136 false
WILCZE_JAGODY 11 6 99 136 false
WILCZE_JAGODY 7 4 99 138 false
WILCZE_JAGODY 8 18 99 138 false
WILCZE_JAGODY 6 10 99 139 false
WILCZE_JAGODY 14 10 99 140 false
WILCZE_JAGODY 14 7 99 140 false
WILCZE_JAGODY 14 8 99 140 false
WILCZE_JAGODY 10 6 99 140 false
WILCZE_JAGODY 14 6 99 141 false
TRAWA 14 5 0 141 false
TRAWA 10 2 0 141 false
WILCZE_JAGODY 11 8 99 142 false
WILCZE_JAGODY 0 11 99 142 false
WILCZE_JAGODY 13 8 99 143 false
WILCZE_JAGODY 13 10 99 143 false
TRAWA 10 5 0 143 false
TRAWA 14 4 0 144 false
WILCZE_JAGODY 12 16 99 144 false
WILCZE_JAGODY 13 4 99 144 false
WILCZE_JAGODY 13 15 99 145 false
WILCZE_JAGODY 14 9 99 145 false
WILCZE_JAGODY 8 19 99 145 false
TRAWA 8 4 0 145 false
WILCZE_JAGODY 6 12 99 145 false
WILCZE_JAGODY 13 16 99 145 false
WILCZE_JAGODY 12 12 99 146 false
WILCZE_JAGODY 10 7 99 147 false
WILCZE_JAGODY 5 16 99 147 false
WILCZE_JAGODY 6 8 99 148 false
WILCZE_JAGODY 2 14 99 149 false
TRAWA 15 2 0 149 false
WILCZE_JAGODY 7 3 99 149 false
WILCZE_JAGODY 8 17 99 149 false
TRAWA 8 3 0 149 false
WILCZE_JAGODY 12 11 99 149 false
TRAWA 13 17 0 150 false
WILCZE_JAGODY 5 18 99 150 false
TRAWA 15 17 0 150 false
WILCZE_JAGODY 8 1 99 150 false
TRAWA 8 2 0 150 false
TRAWA 8 5 0 150 false
TRAWA 8 6 0 150 false
TRAWA 8 7 0 150 false
WILCZE_JAGODY 16 19 99 151 false
WILCZE_JAGODY 15 15 99 151 false
TRAWA 17 1 0 151 false
WILCZE_JAGODY 5 9 99 151 false
WILCZE_JAGODY 15 1 99 152 false
WILCZE_JAGODY 9 15 99 152 false
WILCZE_JAGODY 16 14 99 153 false
WILCZE_JAGODY 2 10 99 153 false
TRAWA 10 8 0 153 false
WILCZE_JAGODY 4 15 99 154 false
WILCZE_JAGODY 12 10 99 154 false
TRAWA 10 4 0 154 false
WILCZE_JAGODY 13 18 99 155 false
TRAWA 16 4 0 155 false
WILCZE_JAGODY 7 18 99 155 false
WILCZE_JAGODY 8 16 99 155 false
WILCZE_JAGODY 14 18 99 155 false
WILCZE_JAGODY 11 9 99 155 false
WILCZE_JAGODY 5 8 99 155 false
TRAWA 14 17 0 155 false
TRAWA 10 9 0 156 false
WILCZE_JAGODY 5 7 99 157 false
WILCZE_JAGODY 15 19 99 157 false
WILCZE_JAGODY 4 8 99 157 false
WILCZE_JAGODY 16 13 99 158 false
TRAWA 12 4 0 158 false
TRAWA 16 12 0 159 false
WILCZE_JAGODY 13 19 99 159 false
WILCZE_JAGODY 1 10 99 159 false
WILCZE_JAGODY 1 3 99 159 false
TRAWA 16 1 0 159 false
TRAWA 17 12 0 160 false
TRAWA 17 0 0 160 false
TRAWA 11 4 0 160 false
GUARANA 17 13 0 161 false
WILCZE_JAGODY 0 10 99 161 false
WILCZE_JAGODY 14 16 99 161 false
TRAWA 18 13 0 161 false
WILCZE_JAGODY 6 18 99 161 false
WILCZE_JAGODY 8 15 99 161 false
TRAWA 16 0 0 161 false
TRAWA 11 5 0 161 false
TRAWA 18 2 0 162 false
TRAWA 17 10 0 162 false
TRAWA 10 10 0 162 false
WILCZE_JAGODY 15 13 99 163 false
TRAWA 17 11 0 163 false
GUARANA 18 14 0 163 false
WILCZE_JAGODY 12 13 99 163 false
TRAWA 16 2 0 163 false
WILCZE_JAGODY 9 14 99 163 false
GUARANA 18 15 0 163 false
TRAWA 12 5 0 163 false
TRAWA 17 2 0 163 false
WILCZE_JAGODY 2 5 99 164 false
WILCZE_JAGODY 11 12 99 164 false
TRAWA 18 4 0 164 false
GUARANA 17 15 0 164 false
WILCZE_JAGODY 8 11 99 165 false
WILCZE_JAGODY 2 4 99 165 false
WILCZE_JAGODY 0 13 99 165 false
WILCZE_JAGODY 14 15 99 165 false
WILCZE_JAGODY 8 14 99 165 false
TRAWA 15 0 0 165 false
WILCZE_JAGODY 11 11 99 165 false
TRAWA 18 5 0 165 false
WILCZE_JAGODY 18 6 99 166 false
WILCZE_JAGODY 7 12 99 166 false
WILCZE_JAGODY 13 14 99 166 false
TRAWA 18 12 0 166 false
WILCZE_JAGODY 14 13 99 167 false
WILCZE_JAGODY 0 3 99 167 false
TRAWA 11 10 0 167 false
WILCZE_JAGODY 15 14 99 167 false
TRAWA 19 10 0 168 false
WILCZE_JAGODY 8 12 99 168 false
WILCZE_JAGODY 6 13 99 169 false
WILCZE_JAGODY 4 18 99 169 false
TRAWA 17 4 0 169 false
WILCZE_JAGODY 7 13 99 169 false
TRAWA 18 11 0 170 false
TRAWA 17 5 0 170 false
WILCZE_JAGODY 14 19 99 170 false
WILCZE_JAGODY 14 14 99 172 false
WILCZE_JAGODY 2 9 99 173 false
WILCZE_JAGODY 7 14 99 173 false
TRAWA 19 11 0 173 false
TRAWA 17 6 0 175 false
TRAWA 19 12 0 175 false
WILCZE_JAGODY 10 14 99 176 false
WILCZE_JAGODY 3 9 99 176 false
TRAWA 19 13 0 176 false
WILCZE_JAGODY 12 14 99 177 false
WILCZE_JAGODY 4 7 99 177 false
GUARANA 19 14 0 177 false
TRAWA 8 13 0 177 false
GUARANA 19 15 0 178 false
WILCZE_JAGODY 6 17 99 179 false
WILCZE_JAGODY 9 11 99 180 false
WILCZE_JAGODY 13 13 99 180 false
TRAWA 11 14 0 180 false
WILCZE_JAGODY 9 12 99 181 false
WILCZE_JAGODY 4 19 99 182 false
TRAWA 9 10 0 182 false
WILCZE_JAGODY 18 17 99 183 false
TRAWA 17 17 0 183 false
WILCZE_JAGODY 3 0 99 183 false
WILCZE_JAGODY 7 15 99 183 false
WILCZE_JAGODY 10 11 99 183 false
WILCZE_JAGODY 6 14 99 183 false
WILCZE_JAGODY 6 16 99 184 false
WILCZE_JAGODY 7 16 99 184 false
WILCZE_JAGODY 19 17 99 185 false
WILCZE_JAGODY 7 17 99 185 false
WILCZE_JAGODY 9 13 99 185 false
WILCZE_JAGODY 3 1 99 186 false
WILCZE_JAGODY 4 17 99 186 false
GUARANA 19 16 0 186 false
TRAWA 9 9 0 186 false
WILCZE_JAGODY 1 2 99 187 false
TRAWA 9 8 0 187 false
WILCZE_JAGODY 3 7 99 187 false
WILCZE_JAGODY 5 17 99 188 false
TRAWA 9 6 0 188 false
TRAWA 9 7 0 188 false
GUARANA 18 16 0 188 false
TRAWA 9 5 0 189 false
TRAWA 11 3 0 192 false
TRAWA 9 3 0 192 false
WILCZE_JAGODY 2 6 99 192 false
WILCZE_JAGODY 1 9 99 192 false
TRAWA 10 3 0 194 false
TRAWA 9 4 0 194 false
WILCZE_JAGODY 4 16 99 194 false
WILCZE_JAGODY 13 3 99 195 false
TRAWA 15 3 0 196 false
TRAWA 14 3 0 196 false
WILCZE_JAGODY 1 4 99 196 false
TRAWA 12 3 0 197 false
WILCZE_JAGODY 6 15 99 198 false
TRAWA 16 3 0 199 false
WILCZE_JAGODY 2 1 99 200 false
TRAWA 17 3 0 200 false
TRAWA 18 3 0 201 false
WILCZE_JAGODY 0 2 99 201 false
WILCZE_JAGODY 1 5 99 202 false
TRAWA 19 4 0 202 false
TRAWA 19 3 0 202 false
WILK 3 18 9 203 false
WILK 3 17 9 203 false
WILK 3 15 9 203 false
WILK 1 8 9 203 false
WILCZE_JAGODY 2 15 99 203 false
TRAWA 19 5 0 203 false
WILCZE_JAGODY 2 8 99 203 false
